categoryId,track,subtrack,stage,labelJa,labelKo,includes,sortOrder
c1-inquiry,infrastructure,サーバー,1,問い合わせ対応,,,1
c1-triage,infrastructure,サーバー,1,問い合わせ一次切り分け,,,2
c1-reporting,infrastructure,サーバー,1,記録・報告（報連相）,,,3
c1-procedure,infrastructure,サーバー,1,手順書・定型作業,,,4
c1-operations,infrastructure,サーバー,1,定常運用・データ保全,,,5
c1-account,infrastructure,サーバー,1,アカウント対応,,,6
c1-device,infrastructure,サーバー,1,端末・周辺機器,,,7
c1-monitoring,infrastructure,サーバー,1,監視補助・基本確認,,,8
c1-itbasics,infrastructure,サーバー,1,IT基礎知識,,,9
c1-security,infrastructure,サーバー,1,セキュリティ・ルール遵守,,,10
c1-site,infrastructure,サーバー,1,現場理解・体制,,,11
c2-monitor,infrastructure,サーバー,2,監視・異常検知,,c1-monitoring,1
c2-assess,infrastructure,サーバー,2,障害状況の一次確認,,c1-itbasics|c1-triage,2
c2-response,infrastructure,サーバー,2,初動対応の実施,,c1-procedure|c1-security,3
c2-recovery,infrastructure,サーバー,2,復旧確認・完了処理,,,4
c2-escalate,infrastructure,サーバー,2,エスカレーション・引き継ぎ,,c1-site,5
c2-incident,infrastructure,サーバー,2,インシデント記録・進行管理,,c1-inquiry|c1-reporting,6
c2-operations,infrastructure,サーバー,2,定常運用の自立実施,,c1-operations|c1-account|c1-device,7
c3-analysis,infrastructure,サーバー,3,監視分析・改善提案,,c2-monitor,1
c3-diagnosis,infrastructure,サーバー,3,原因調査・切り分け,,c2-assess,2
c3-recovery,infrastructure,サーバー,3,復旧対応・恒久対策の検討,,c2-response|c2-recovery,3
c3-incident,infrastructure,サーバー,3,二次対応の受付・進行管理,,c2-escalate|c2-incident,4
c3-maintenance,infrastructure,サーバー,3,定期保守・変更作業,,c2-operations,5
c3-document,infrastructure,サーバー,3,手順書・ナレッジ整備,,,6
hd1-intake,it-support,ヘルプデスク系,1,問い合わせの受付・整理,,,1
hd1-triage,it-support,ヘルプデスク系,1,問い合わせの一次切り分け,,,2
hd1-guidance,it-support,ヘルプデスク系,1,定型案内・操作説明,,,3
hd1-escalate,it-support,ヘルプデスク系,1,対応範囲の判断・引き継ぎ,,,4
hd1-record,it-support,ヘルプデスク系,1,記録・報告（報連相）,,,5
hd1-account,it-support,ヘルプデスク系,1,アカウント対応,,,6
hd1-device,it-support,ヘルプデスク系,1,端末・周辺機器,,,7
hd1-asset,it-support,ヘルプデスク系,1,端末・ライセンスの資産管理,,,8
hd1-office,it-support,ヘルプデスク系,1,PC・Microsoft 365 の基本操作,,,9
hd1-manner,it-support,ヘルプデスク系,1,利用者対応の基本,,,10
hd1-itbasics,it-support,ヘルプデスク系,1,IT基礎知識,,,11
hd1-security,it-support,ヘルプデスク系,1,セキュリティ・ルール遵守,,,12
hd1-site,it-support,ヘルプデスク系,1,現場理解・体制,,,13
hd2-assess,it-support,ヘルプデスク系,2,二次対応の受付・状況把握,,hd1-intake|hd1-triage,1
hd2-diagnose,it-support,ヘルプデスク系,2,原因の切り分け（ログ・設定・操作履歴）,,hd1-itbasics|hd1-device,2
