id,titleJa,shortLabel,role,requiredSkills,requiredExperience,recommendedCerts,toolsEnvironmentsLanguages,nextStepConditions,tags,branchNote
dev-web-sp-6,SE（要件定義）,SE（要件定義）,後日公開予定,後日公開予定,後日公開予定,後日公開予定,後日公開予定,後日公開予定,開発|Webアプリケーション|Specialist,
dev-web-sp-5,SE（基本設計）,SE（基本設計）,後日公開予定,後日公開予定,後日公開予定,後日公開予定,後日公開予定,後日公開予定,開発|Webアプリケーション|Specialist,
dev-web-sp-4,SE（詳細設計）,SE（詳細設計）,"・要件や基本設計の内容を確認し、設計対象を整理する役割
・画面、API、DB入出力を実装可能な粒度まで具体化する役割
・正常系、異常系、例外処理を詳細設計に落とし込む役割
・PGが実装できる粒度まで処理を分解し、詳細設計書を作成する役割","・要件定義、基本設計書の読解
・画面、API、DB入出力の詳細設計 (HTML, CSS, JavaScript, TypeScript, MySQL, Oracle 等)
・正常系、異常系、例外処理の詳細設計
・PGが実装できる粒度への処理分解、詳細設計書の作成 (Excel, Markdown, UML 等)","・要件定義や基本設計書を確認し、設計対象を整理した経験
・画面、API、DB入出力の詳細設計を作成した経験 (HTML, CSS, JavaScript, TypeScript, MySQL, Oracle 等)
・正常系、異常系、例外処理を含めて詳細設計を行った経験
・PGが実装できる粒度まで処理を分解し、詳細設計書を作成した経験 (Excel, Markdown, UML 等)",,,,開発|Webアプリケーション|Specialist,
dev-web-sp-3,PG（コーディング）,PG（コーディング）,"・詳細設計書を確認し、実装対象と処理内容を把握する役割
・詳細設計書をもとに、画面機能を実装する役割
・詳細設計書をもとに、API、サーバー処理、DB入出力を実装する役割
・実装した内容を確認し、単体テストを行う役割","・詳細設計書の読解、実装対象の把握
・詳細設計書をもとにした画面機能の実装 (HTML, CSS, JavaScript, TypeScript 等)
・詳細設計書をもとにしたAPI、サーバー処理、DB入出力の実装 (Java, Python, PHP, Node.js, MySQL, Oracle 等)
・実装内容に応じた単体テストの実施 (Postman, JUnit, pytest 等)","・詳細設計書を確認し、実装対象や処理内容を整理した経験
・詳細設計書をもとに、画面機能の実装を行った経験 (HTML, CSS, JavaScript, TypeScript 等)
・詳細設計書をもとに、API、サーバー処理、DB入出力の実装を行った経験 (Java, Python, PHP, Node.js, MySQL, Oracle 等)
・実装後に単体テストを実施し、動作確認を行った経験 (Postman, JUnit, pytest 等)",,,,開発|Webアプリケーション|Specialist,
dev-web-sp-2,改修,改修,"・既存画面の表示不具合や修正対象を確認し、必要な表示修正を行う役割
・既存機能に対して、条件分岐や文言の修正を行う役割
・既存APIやSQLに対して、軽微な修正を行う役割
・改修内容に応じて、詳細設計書を更新する役割","・既存画面の表示修正 (HTML, CSS, JavaScript 等)
・既存機能の条件分岐、文言の修正 (Java, Python 等)
・既存API、SQLの軽微な修正 (MySQL, Oracle 等)
・改修内容に応じた詳細設計書の修正","・既存画面の表示不具合やレイアウト調整に対応した経験 (HTML, CSS, JavaScript 等)
・既存機能の条件分岐や文言修正を行った経験 (Java, Python 等)
・既存APIやSQLの軽微な修正を行った経験 (MySQL, Oracle 等)
・改修内容に応じて、詳細設計書を更新した経験",,,,開発|Webアプリケーション|Specialist,
dev-web-mg-6,PM（プロジェクトマネージャー）,PM,,,,,,,開発|Webアプリケーション|Manager,
dev-web-mg-5,PL（プロジェクトリーダー）,PL,,,,,,,開発|Webアプリケーション|Manager,
dev-web-mg-4,サブPL,サブPL,,,,,,,開発|Webアプリケーション|Manager,
dev-web-mg-3,リーダー,リーダー,,,,,,,開発|Webアプリケーション|Manager,
dev-web-mg-2,サブリーダー,サブリーダー,,,,,,,開発|Webアプリケーション|Manager,
