evidenceId,abilityId,statement,evidenceType,workTags,selfCheckTip,sortOrder
infra-server-common-1-a1-e1,infra-server-common-1-a1,よくある問い合わせの種類と、それぞれの引き継ぎ先を理解している,knowledge,inquiry,,1
infra-server-common-1-a1-e2,infra-server-common-1-a1,問い合わせ内容を聞き取り、要点を記録できる,practice,inquiry|reporting,,2
infra-server-common-1-a1-e3,infra-server-common-1-a1,引き継ぎに必要な情報を整理して伝えられる,practice,inquiry|escalation,引き継ぎの際に、どんな情報をまとめて渡しているか説明できますか？,3
infra-server-common-1-a1-e4,infra-server-common-1-a1,問い合わせの受付から担当者への連携までを実務で行った経験がある,experience,inquiry,,4
infra-server-common-1-a2-e1,infra-server-common-1-a2,手順書を読み、作業の流れを把握できる,knowledge,procedure,,1
infra-server-common-1-a2-e2,infra-server-common-1-a2,手順書どおりに作業を実施し、結果を確認できる,practice,procedure,,2
infra-server-common-1-a2-e3,infra-server-common-1-a2,手順と実際の状況が異なる場合に、作業を止めて確認できる,knowledge,procedure,手順どおりに進まなかったとき、どう対応したか思い出せますか？,3
infra-server-common-1-a2-e4,infra-server-common-1-a2,定型作業を継続的に担当した経験がある,experience,procedure,,4
infra-server-common-1-a3-e1,infra-server-common-1-a3,アカウント管理の基本的な仕組みを理解している,knowledge,account|knowledge-base,,1
infra-server-common-1-a3-e2,infra-server-common-1-a3,手順書に沿ってアカウントの登録・変更・削除を実施できる,practice,account|procedure,,2
infra-server-common-1-a3-e3,infra-server-common-1-a3,アカウント対応を実務で行った経験がある,experience,account,対応したアカウント業務の種類と件数感を説明できますか？,3
infra-server-common-1-a4-e1,infra-server-common-1-a4,初期設定の手順書を読み、作業内容を把握できる,knowledge,kitting|procedure,,1
infra-server-common-1-a4-e2,infra-server-common-1-a4,手順書に沿ってPCや周辺機器の初期設定を実施できる,practice,kitting,,2
infra-server-common-1-a4-e3,infra-server-common-1-a4,設定後の動作確認と、不備があった場合の報告ができる,practice,kitting|verification,,3
infra-server-common-1-a4-e4,infra-server-common-1-a4,複数台の端末設定を担当した経験がある,experience,kitting,何台くらい・どんな流れで対応したか説明できますか？,4
infra-server-common-1-a5-e1,infra-server-common-1-a5,作業ログや対応記録を、決められた形式で残せる,practice,reporting,,1
infra-server-common-1-a5-e2,infra-server-common-1-a5,実施した作業の内容を、第三者が分かる形で文書化できる,practice,reporting,,2
infra-server-common-1-a5-e3,infra-server-common-1-a5,作業結果を口頭または文書で報告した経験がある,experience,reporting,誰に・どんな形式で報告したか、具体例を挙げられますか？,3
infra-server-common-1-a5-e4,infra-server-common-1-a5,報告内容について質問された際に、経緯を説明できる,knowledge,reporting,,4
